CCS_Code,CCS_Desc
1,Nutritional anemia
2,Hemolytic anemia
3,Aplastic anemia
4,Acute posthemorrhagic anemia
5,Sickle cell trait/anemia
6,Coagulation and hemorrhagic disorders
7,Diseases of white blood cells
8,Immunity disorders
9,Postprocedural or postoperative complications of the spleen
10,Other specified and unspecified hematologic conditions
11,Chronic rheumatic heart disease
12,Acute rheumatic heart disease
13,Nonrheumatic and unspecified valve disorders
14,Endocarditis and endocardial disease
15,Myocarditis and cardiomyopathy
16,Pericarditis and pericardial disease
17,Essential hypertension
18,Hypertension with complications and secondary hypertension
19,Acute myocardial infarction
20,Complications of acute myocardial infarction
21,Coronary atherosclerosis and other heart disease
22,Nonspecific chest pain
23,Acute pulmonary embolism
24,Pulmonary heart disease
25,Other and ill-defined heart disease
26,Conduction disorders
27,Cardiac dysrhythmias
28,Cardiac arrest and ventricular fibrillation
29,Heart failure
30,Cerebral infarction
31,Acute hemorrhagic cerebrovascular disease
32,Sequela of hemorrhagic cerebrovascular disease
33,Occlusion or stenosis of precerebral or cerebral arteries without infarction
34,Other and ill-defined cerebrovascular disease
35,Sequela of cerebral infarction and other cerebrovascular disease
36,Peripheral and visceral vascular disease
37,Arterial dissections
38,Gangrene
39,Aortic; peripheral; and visceral artery aneurysms
40,Aortic and peripheral arterial embolism or thrombosis
41,Hypotension
42,Other specified and unspecified circulatory disease
43,Acute phlebitis; thrombophlebitis and thromboembolism
44,Chronic phlebitis; thrombophlebitis and thromboembolism
45,Varicose veins of lower extremity
46,Postthrombotic syndrome and venous insufficiency/hypertension
47,Vasculitis
48,Postprocedural or postoperative circulatory system complication
49,Other specified diseases of veins and lymphatics
50,Intestinal infection
51,Disorders of teeth and gingiva
52,Diseases of mouth; excluding dental
53,Esophageal disorders
54,Gastroduodenal ulcer
55,Gastrointestinal and biliary perforation
56,Gastritis and duodenitis
57,Other specified and unspecified disorders of stomach and duodenum
58,Appendicitis and other appendiceal conditions
59,Abdominal hernia
60,Regional enteritis and ulcerative colitis
61,Intestinal obstruction and ileus
62,Diverticulosis and diverticulitis
63,Hemorrhoids
64,Anal and rectal conditions
65,Peritonitis and intra-abdominal abscess
66,Biliary tract disease
67,Hepatic failure
68,Other specified and unspecified liver disease
69,Pancreatic disorders (excluding diabetes)
70,Gastrointestinal hemorrhage
71,Noninfectious gastroenteritis
72,Noninfectious hepatitis
73,Postprocedural or postoperative digestive system complication
74,Other specified and unspecified gastrointestinal disorders
75,Otitis media
